contract_id,player_id,age,service_time,year,duration,value,type
Scherzer_5166_2011,Scherzer_5166,26,2.079,2011,1,0.6,pre-arb
Posey_7511_2011,Posey_7511,24,0.161,2011,1,0.575,pre-arb
Buchholz_82_2011,Buchholz_82,26,2.059,2011,1,0.555,pre-arb
Gardner_5311_2011,Gardner_5311,27,2.072,2011,1,0.5295,pre-arb
Blanco_7554_2011,Blanco_7554,27,2.087,2011,1,0.52,pre-arb
Bard_5185_2011,Bard_5185,26,1.148,2011,1,0.505,pre-arb
Kershaw_5273_2011,Kershaw_5273,23,2.105,2011,1,0.5,pre-arb
Sandoval_5355_2011,Sandoval_5355,24,2.047,2011,1,0.5,pre-arb
Heyward_7231_2011,Heyward_7231,21,1.0,2011,1,0.4965,pre-arb
Beckham_7272_2011,Beckham_7272,24,1.123,2011,1,0.485,pre-arb
Happ_5326_2011,Happ_5326,28,2.047,2011,1,0.474,pre-arb
Richard_5206_2011,Richard_5206,27,2.07,2011,1,0.4688,pre-arb
McGehee_5286_2011,McGehee_5286,28,2.028,2011,1,0.468,pre-arb
Duensing_7438_2011,Duensing_7438,28,1.104,2011,1,0.4625,pre-arb
Latos_7505_2011,Latos_7505,23,1.079,2011,1,0.4607,pre-arb
Robertson_7466_2011,Robertson_7466,26,2.07,2011,1,0.46045,pre-arb
Feliz_7556_2011,Feliz_7556,23,1.064,2011,1,0.45716,pre-arb
Jones_7484_2011,Jones_7484,30,1.158,2011,1,0.4555,pre-arb
McCutchen_7489_2011,McCutchen_7489,24,1.123,2011,1,0.4525,pre-arb
Wieters_7247_2011,Wieters_7247,25,1.129,2011,1,0.45225,pre-arb
Andrus_5396_2011,Andrus_5396,22,2.0,2011,1,0.45218,pre-arb
Niese_7456_2011,Niese_7456,24,1.107,2011,1,0.452,pre-arb
Stubbs_7290_2011,Stubbs_7290,26,1.047,2011,1,0.45,pre-arb
Lowrie_5192_2011,Lowrie_5192,27,2.111,2011,1,0.45,pre-arb
Bumgarner_7510_2011,Bumgarner_7510,21,0.127,2011,1,0.45,pre-arb
Romo_5359_2011,Romo_5359,28,2.097,2011,1,0.45,pre-arb
Gregerson_5339_2011,Gregerson_5339,27,2.0,2011,1,0.4478,pre-arb
Venable_7508_2011,Venable_7508,28,1.155,2011,1,0.4444,pre-arb
Narveson_7371_2011,Narveson_7371,29,1.102,2011,1,0.44415,pre-arb
Cecil_5403_2011,Cecil_5403,24,1.128,2011,1,0.4431,pre-arb
Chavez_5330_2011,Chavez_5330,27,2.033,2011,1,0.4431,pre-arb
Rasmus_5378_2011,Rasmus_5378,24,2.0,2011,1,0.443,pre-arb
Clippard_7541_2011,Clippard_7541,26,1.148,2011,1,0.443,pre-arb
Axford_7363_2011,Axford_7363,28,0.17,2011,1,0.4425,pre-arb
Hunter_7558_2011,Hunter_7558,24,1.09,2011,1,0.44216,pre-arb
Desmond_7542_2011,Desmond_7542,25,1.027,2011,1,0.4415,pre-arb
Morton_7491_2011,Morton_7491,27,2.009,2011,1,0.441,pre-arb
Castro_7264_2011,Castro_7264,21,0.15,2011,1,0.44,pre-arb
Cahill_5316_2011,Cahill_5316,23,2.0,2011,1,0.44,pre-arb
Hundley_5342_2011,Hundley_5342,27,2.088,2011,1,0.4399,pre-arb
Norris_7336_2011,Norris_7336,26,1.068,2011,1,0.4375,pre-arb
Valencia_7445_2011,Valencia_7445,26,0.123,2011,1,0.4375,pre-arb
Walker_7499_2011,Walker_7499,25,0.166,2011,1,0.437,pre-arb
Fister_7518_2011,Fister_7518,27,1.058,2011,1,0.4365,pre-arb
Snider_5408_2011,Snider_5408,23,1.126,2011,1,0.4358,pre-arb
Motte_5373_2011,Motte_5373,29,2.027,2011,1,0.435,pre-arb
Jepsen_7321_2011,Jepsen_7321,26,1.169,2011,1,0.435,pre-arb
Thatcher_687_2011,Thatcher_687,29,2.068,2011,1,0.4339,pre-arb
Nova_7464_2011,Nova_7464,24,0.051,2011,1,0.4329,pre-arb
Sanchez_7338_2011,Sanchez_7338,27,1.144,2011,1,0.4325,pre-arb
Davis_7447_2011,Davis_7447,24,0.168,2011,1,0.432,pre-arb
Holland_5390_2011,Holland_5390,24,1.12,2011,1,0.43181,pre-arb
Rzepczynski_7355_2011,Rzepczynski_7355,25,1.036,2011,1,0.4296,pre-arb
Maybin_327_2011,Maybin_327,24,1.073,2011,1,0.4291,pre-arb
Butera_7437_2011,Butera_7437,27,1.0,2011,1,0.429,pre-arb
Harrison_5389_2011,Harrison_5389,25,2.083,2011,1,0.42883,pre-arb
Rodriguez_7538_2011,Rodriguez_7538,26,1.133,2011,1,0.4286,pre-arb
Escobar_7417_2011,Escobar_7417,24,1.082,2011,1,0.428,pre-arb
Cashner_7263_2011,Cashner_7263,24,0.126,2011,1,0.4275,pre-arb
Russell_7270_2011,Russell_7270,25,1.0,2011,1,0.4275,pre-arb
Joyce_7534_2011,Joyce_7534,26,1.123,2011,1,0.4265,pre-arb
Parra_7224_2011,Parra_7224,24,1.145,2011,1,0.426,pre-arb
Moreland_7560_2011,Moreland_7560,25,0.067,2011,1,0.426,pre-arb
Brignac_7525_2011,Brignac_7525,25,1.07,2011,1,0.4254,pre-arb
Avila_7381_2011,Avila_7381,24,1.061,2011,1,0.425,pre-arb
Sale_7278_2011,Sale_7278,22,0.061,2011,1,0.425,pre-arb
Barton_601_2011,Barton_601,25,2.119,2011,1,0.425,pre-arb
Bonifacio_5250_2011,Bonifacio_5250,26,2.066,2011,1,0.425,pre-arb
Leake_7285_2011,Leake_7285,23,1.0,2011,1,0.425,pre-arb
Johnson_7333_2011,Johnson_7333,26,0.166,2011,1,0.424,pre-arb
Fowler_5231_2011,Fowler_5231,25,2.01,2011,1,0.424,pre-arb
Lucroy_7368_2011,Lucroy_7368,25,0.136,2011,1,0.424,pre-arb
Hernandez_7211_2011,Hernandez_7211,26,1.105,2011,1,0.4235,pre-arb
Kennedy_588_2011,Kennedy_588,26,1.124,2011,1,0.423,pre-arb
Bourgeois_7646_2011,Bourgeois_7646,29,1.009,2011,1,0.423,pre-arb
Wood_7292_2011,Wood_7292,24,0.086,2011,1,0.4225,pre-arb
Murphy_5301_2011,Murphy_5301,26,1.109,2011,1,0.422,pre-arb
Brantley_7294_2011,Brantley_7294,24,0.131,2011,1,0.4218,pre-arb
Castro_7327_2011,Castro_7327,24,0.104,2011,1,0.4215,pre-arb
Ellis_7427_2011,Ellis_7427,30,1.062,2011,1,0.421,pre-arb
Melancon_7335_2011,Melancon_7335,26,0.139,2011,1,0.421,pre-arb
Gonzalez_7342_2011,Gonzalez_7342,25,1.162,2011,1,0.42,pre-arb
Blevins_7341_2011,Blevins_7341,27,1.162,2011,1,0.42,pre-arb
Thole_7459_2011,Thole_7459,24,0.142,2011,1,0.42,pre-arb
Saunders_7523_2011,Saunders_7523,24,1.051,2011,1,0.42,pre-arb
Nunez_7465_2011,Nunez_7465,24,0.046,2011,1,0.4193,pre-arb
Heisey_7284_2011,Heisey_7284,26,0.157,2011,1,0.419,pre-arb
Kimbrel_7233_2011,Kimbrel_7233,23,0.066,2011,1,0.419,pre-arb
Martínez_7361_2011,Martínez_7361,29,0.167,2011,1,0.419,pre-arb
Hudson_7221_2011,Hudson_7221,24,0.117,2011,1,0.419,pre-arb
Arrieta_7237_2011,Arrieta_7237,25,0.116,2011,1,0.419,pre-arb
Manship_7441_2011,Manship_7441,26,0.127,2011,1,0.419,pre-arb
Chacin_7307_2011,Chacin_7307,23,1.012,2011,1,0.419,pre-arb
Smoak_6967_2011,Smoak_6967,24,0.116,2011,1,0.419,pre-arb
Davis_5397_2011,Davis_5397,25,1.12,2011,1,0.41829,pre-arb
Enright_7218_2011,Enright_7218,25,0.096,2011,1,0.418,pre-arb
Schlereth_7386_2011,Schlereth_7386,25,0.13,2011,1,0.418,pre-arb
Storen_6802_2011,Storen_6802,23,0.14,2011,1,0.418,pre-arb
Abad_7326_2011,Abad_7326,25,0.054,2011,1,0.418,pre-arb
Ondrusek_7288_2011,Ondrusek_7288,26,0.144,2011,1,0.418,pre-arb
Moore_7521_2011,Moore_7521,27,0.167,2011,1,0.4175,pre-arb
Nava_7256_2011,Nava_7256,28,0.091,2011,1,0.4175,pre-arb
Reddick_7258_2011,Reddick_7258,24,0.109,2011,1,0.4175,pre-arb
Tomlin_7306_2011,Tomlin_7306,26,0.069,2011,1,0.4172,pre-arb
Tillman_7245_2011,Tillman_7245,23,0.133,2011,1,0.417,pre-arb
Barney_7260_2011,Barney_7260,25,0.053,2011,1,0.417,pre-arb
Santana_7304_2011,Santana_7304,25,0.115,2011,1,0.4166,pre-arb
Gentry_7557_2011,Gentry_7557,27,0.111,2011,1,0.416,pre-arb
Freese_7376_2011,Freese_7376,28,1.028,2011,1,0.416,pre-arb
Stanton_6864_2011,Stanton_6864,21,0.118,2011,1,0.416,pre-arb
Jay_7377_2011,Jay_7377,26,0.134,2011,1,0.416,pre-arb
Jansen_7635_2011,Jansen_7635,23,0.072,2011,1,0.416,pre-arb
Strop_7563_2011,Strop_7563,26,0.094,2011,1,0.416,pre-arb
Carrasco_7295_2011,Carrasco_7295,24,0.067,2011,1,0.4158,pre-arb
Luebke_7507_2011,Luebke_7507,26,0.033,2011,1,0.4156,pre-arb
McGee_7535_2011,McGee_7535,24,0.02,2011,1,0.4152,pre-arb
Espinosa_7543_2011,Espinosa_7543,24,0.033,2011,1,0.415,pre-arb
Zimmermann_5413_2011,Zimmermann_5413,25,1.154,2011,1,0.415,pre-arb
Ramos_7550_2011,Ramos_7550,23,0.047,2011,1,0.415,pre-arb
Moss_98_2011,Moss_98,27,2.028,2011,1,0.4145,pre-arb
Freeman_7359_2011,Freeman_7359,21,0.033,2011,1,0.4145,pre-arb
Jeffress_7419_2011,Jeffress_7419,23,0.033,2011,1,0.4145,pre-arb
Belisario_9160_2011,Belisario_9160,28,1.151,2011,1,0.4145,pre-arb
Pestano_7302_2011,Pestano_7302,26,0.011,2011,1,0.4141,pre-arb
Reed_8496_2011,Reed_8496,22,-1,2011,1,0.414,pre-arb
Alburquerque_8511_2011,Alburquerque_8511,25,-1,2011,1,0.414,pre-arb
De Aza_7273_2011,De Aza_7273,27,2.075,2011,1,0.414,pre-arb
Cobb_8473_2011,Cobb_8473,23,-1,2011,1,0.414,pre-arb
Craig_7633_2011,Craig_7633,26,0.077,2011,1,0.414,pre-arb
Brown_11610_2011,Brown_11610,26,-1,2011,1,0.414,pre-arb
Carignan_8592_2011,Carignan_8592,24,-1,2011,1,0.414,pre-arb
Romine_8551_2011,Romine_8551,25,0.01,2011,1,0.414,pre-arb
Rizzo_8670_2011,Rizzo_8670,21,-1,2011,1,0.414,pre-arb
Vizcaino_8636_2011,Vizcaino_8636,20,-1,2011,1,0.414,pre-arb
Romine_8461_2011,Romine_8461,22,-1,2011,1,0.414,pre-arb
Hand_8640_2011,Hand_8640,21,-1,2011,1,0.414,pre-arb
Peacock_8601_2011,Peacock_8601,23,-1,2011,1,0.414,pre-arb
Belt_7629_2011,Belt_7629,23,-1,2011,1,0.414,pre-arb
Crawford_8745_2011,Crawford_8745,24,-1,2011,1,0.414,pre-arb
Dickson_8728_2011,Dickson_8728,26,-1,2011,1,0.414,pre-arb
Guyer_8480_2011,Guyer_8480,25,-1,2011,1,0.414,pre-arb
Kintzler_7367_2011,Kintzler_7367,26,0.027,2011,1,0.414,pre-arb
Snyder_7243_2011,Snyder_7243,24,0.033,2011,1,0.414,pre-arb
Shaw_8798_2011,Shaw_8798,23,-1,2011,1,0.414,pre-arb
Blackmon_9156_2011,Blackmon_9156,24,12.102,2011,1,0.414,pre-arb
Gillaspie_8746_2011,Gillaspie_8746,23,0.023,2011,1,0.414,pre-arb
Kluber_8504_2011,Kluber_8504,25,-1,2011,1,0.414,pre-arb
Gearrin_8633_2011,Gearrin_8633,25,-1,2011,1,0.414,pre-arb
Stammen_7552_2011,Stammen_7552,27,1.126,2011,1,0.414,pre-arb
LeMahieu_10696_2011,LeMahieu_10696,22,-1,2011,1,0.414,pre-arb
Descalso_7375_2011,Descalso_7375,24,0.016,2011,1,0.414,pre-arb
Duffy_8520_2011,Duffy_8520,22,-1,2011,1,0.414,pre-arb
Farquhar_8485_2011,Farquhar_8485,24,-1,2011,1,0.414,pre-arb
Carpenter_8684_2011,Carpenter_8684,25,-1,2011,1,0.414,pre-arb
Strange-Gordon_8765_2011,Strange-Gordon_8765,23,-1,2011,1,0.414,pre-arb
Betances_8456_2011,Betances_8456,23,-1,2011,1,0.414,pre-arb
Mesoraco_8674_2011,Mesoraco_8674,23,-1,2011,1,0.414,pre-arb
Brown_7471_2011,Brown_7471,23,0.068,2011,1,0.414,pre-arb
Pomeranz_8709_2011,Pomeranz_8709,22,-1,2011,1,0.414,pre-arb
Escobar_8500_2011,Escobar_8500,22,-1,2011,1,0.414,pre-arb
Hosmer_8531_2011,Hosmer_8531,21,-1,2011,1,0.414,pre-arb
Sogard_7345_2011,Sogard_7345,25,0.02,2011,1,0.414,pre-arb
Thames_8493_2011,Thames_8493,24,-1,2011,1,0.414,pre-arb
Kratz_8655_2011,Kratz_8655,31,0.023,2011,1,0.414,pre-arb
Carrera_8510_2011,Carrera_8510,24,-1,2011,1,0.414,pre-arb
Richards_8548_2011,Richards_8548,23,-1,2011,1,0.414,pre-arb
Kontos_8457_2011,Kontos_8457,26,-1,2011,1,0.414,pre-arb
Holland_7418_2011,Holland_7418,25,0.067,2011,1,0.414,pre-arb
Santiago_8497_2011,Santiago_8497,23,-1,2011,1,0.414,pre-arb
Alvarez III_8481_2011,Alvarez III_8481,21,-1,2011,1,0.414,pre-arb
Shuck_8691_2011,Shuck_8691,24,-1,2011,1,0.414,pre-arb
Martinez_8690_2011,Martinez_8690,23,-1,2011,1,0.414,pre-arb
Hughes_8703_2011,Hughes_8703,25,-1,2011,1,0.414,pre-arb
Dyson_7416_2011,Dyson_7416,26,0.028,2011,1,0.414,pre-arb
Kipnis_8508_2011,Kipnis_8508,24,-1,2011,1,0.414,pre-arb
Guerra_8762_2011,Guerra_8762,25,-1,2011,1,0.414,pre-arb
Mejia_7454_2011,Mejia_7454,21,0.11,2011,1,0.414,pre-arb
Carreño_8484_2011,Carreño_8484,24,-1,2011,1,0.414,pre-arb
Lyles_8685_2011,Lyles_8685,20,-1,2011,1,0.414,pre-arb
Schafer_5177_2011,Schafer_5177,24,0.165,2011,1,0.414,pre-arb
Walden_7324_2011,Walden_7324,23,0.043,2011,1,0.414,pre-arb
Altuve_8688_2011,Altuve_8688,21,-1,2011,1,0.414,pre-arb
Lobaton_8479_2011,Lobaton_8479,26,0.062,2011,1,0.414,pre-arb
Donaldson_8604_2011,Donaldson_8604,25,11.158,2011,1,0.414,pre-arb
Harrison_8707_2011,Harrison_8707,23,-1,2011,1,0.414,pre-arb
Lindblom_8763_2011,Lindblom_8763,24,-1,2011,1,0.414,pre-arb
Abreu_8683_2011,Abreu_8683,26,-1,2011,1,0.414,pre-arb
Nicasio_7312_2011,Nicasio_7312,24,-1,2011,1,0.414,pre-arb
Teherán_8634_2011,Teherán_8634,20,-1,2011,1,0.414,pre-arb
Turner_8649_2011,Turner_8649,26,0.045,2011,1,0.414,pre-arb
Herrera_8522_2011,Herrera_8522,21,-1,2011,1,0.414,pre-arb
Seager_8618_2011,Seager_8618,23,-1,2011,1,0.414,pre-arb
Lynn_8730_2011,Lynn_8730,24,-1,2011,1,0.414,pre-arb
Hendriks_8537_2011,Hendriks_8537,22,-1,2011,1,0.414,pre-arb
Forsythe_8793_2011,Forsythe_8793,24,-1,2011,1,0.414,pre-arb
Morrison_7405_2011,Morrison_7405,23,0.069,2011,1,0.414,pre-arb
Schafer_8702_2011,Schafer_8702,24,-1,2011,1,0.414,pre-arb
Chisenhall_8507_2011,Chisenhall_8507,22,-1,2011,1,0.414,pre-arb
Cain_7415_2011,Cain_7415,25,0.066,2011,1,0.414,pre-arb
Duda_7448_2011,Duda_7448,25,0.033,2011,1,0.414,pre-arb
Valbuena_5225_2011,Valbuena_5225,25,1.162,2011,1,0.414,pre-arb
Pina_8525_2011,Pina_8525,24,-1,2011,1,0.414,pre-arb
Trumbo_7323_2011,Trumbo_7323,25,0.027,2011,1,0.414,pre-arb
Maldonado_8699_2011,Maldonado_8699,24,-1,2011,1,0.414,pre-arb
Gamel_5285_2011,Gamel_5285,25,1.045,2011,1,0.414,pre-arb
Carpenter_8735_2011,Carpenter_8735,25,-1,2011,1,0.414,pre-arb
Moore_8477_2011,Moore_8477,22,-1,2011,1,0.414,pre-arb
Fiers_8696_2011,Fiers_8696,26,-1,2011,1,0.414,pre-arb
Kohn_7627_2011,Kohn_7627,25,0.07,2011,1,0.414,pre-arb
Martínez_7473_2011,Martínez_7473,28,-1,2011,1,0.414,pre-arb
Pineda_7642_2011,Pineda_7642,22,-1,2011,1,0.414,pre-arb
Dunn_7399_2011,Dunn_7399,26,0.106,2011,1,0.414,pre-arb
Minor_7235_2011,Minor_7235,23,-1,2011,1,0.414,pre-arb
Moustakas_8532_2011,Moustakas_8532,22,-1,2011,1,0.414,pre-arb
Trout_8553_2011,Trout_8553,19,-1,2011,1,0.414,pre-arb
Adcock_7661_2011,Adcock_7661,23,-1,2011,1,0.414,pre-arb
Eovaldi_8761_2011,Eovaldi_8761,21,-1,2011,1,0.414,pre-arb
Goldschmidt_9144_2011,Goldschmidt_9144,23,-1,2011,1,0.414,pre-arb
Kozma_8749_2011,Kozma_8749,23,-1,2011,1,0.414,pre-arb
Dolis_8663_2011,Dolis_8663,23,-1,2011,1,0.414,pre-arb
Chirinos_7527_2011,Chirinos_7527,27,-1,2011,1,0.414,pre-arb
Detwiler_5410_2011,Detwiler_5410,25,1.088,2011,1,0.414,pre-arb
Tejada_7458_2011,Tejada_7458,21,0.109,2011,1,0.414,pre-arb
Adams_8441_2011,Adams_8441,24,-1,2011,1,0.414,pre-arb
Cook_8594_2011,Cook_8594,24,-1,2011,1,0.414,pre-arb
Lavarnway_8452_2011,Lavarnway_8452,23,-1,2011,1,0.414,pre-arb
Perez_8524_2011,Perez_8524,21,-1,2011,1,0.414,pre-arb
Robinson_5379_2011,Robinson_5379,26,0.014,2011,1,0.414,pre-arb
Cishek_7395_2011,Cishek_7395,25,0.013,2011,1,0.414,pre-arb
Delabar_8612_2011,Delabar_8612,27,-1,2011,1,0.414,pre-arb
Collins_7664_2011,Collins_7664,21,-1,2011,1,0.414,pre-arb
Dillard_8694_2011,Dillard_8694,27,0.064,2011,1,0.414,pre-arb
Federowicz_8764_2011,Federowicz_8764,23,-1,2011,1,0.414,pre-arb
Frazier_8675_2011,Frazier_8675,25,-1,2011,1,0.414,pre-arb
Wilhelmsen_7644_2011,Wilhelmsen_7644,27,-1,2011,1,0.414,pre-arb
Milone_8598_2011,Milone_8598,24,-1,2011,1,0.414,pre-arb
Campana_8672_2011,Campana_8672,25,-1,2011,1,0.414,pre-arb
Watson_8706_2011,Watson_8706,26,-1,2011,1,0.414,pre-arb
Patton_69_2011,Patton_69,25,1.073,2011,1,0.414,pre-arb
Chatwood_9152_2011,Chatwood_9152,21,-1,2011,1,0.414,pre-arb
Flowers_7274_2011,Flowers_7274,25,0.067,2011,1,0.414,pre-arb
Ross_8602_2011,Ross_8602,24,0.095,2011,1,0.414,pre-arb
Worley_7477_2011,Worley_7477,23,0.032,2011,1,0.414,pre-arb
Rottino_10678_2011,Rottino_10678,31,0.089,2011,1,0.414,pre-arb
LeBlanc_7506_2011,LeBlanc_7506,26,1.075,2011,1,0.414,pre-arb
Miley_8797_2011,Miley_8797,24,-1,2011,1,0.414,pre-arb
Castillo_8666_2011,Castillo_8666,24,0.045,2011,1,0.414,pre-arb
Font_8623_2011,Font_8623,21,3.085,2011,1,0.414,pre-arb
Petit_122_2011,Petit_122,26,2.11,2011,1,0.414,pre-arb
McAllister_8505_2011,McAllister_8505,23,-1,2011,1,0.414,pre-arb
Putnam_8506_2011,Putnam_8506,23,-1,2011,1,0.414,pre-arb
Stewart_8498_2011,Stewart_8498,24,-1,2011,1,0.414,pre-arb
Britton_8437_2011,Britton_8437,23,-1,2011,1,0.414,pre-arb
Cozart_8676_2011,Cozart_8676,25,-1,2011,1,0.414,pre-arb
De La Rosa_8759_2011,De La Rosa_8759,22,-1,2011,1,0.313245,pre-arb
Brach_8773_2011,Brach_8773,25,-1,2011,1,0.090491,pre-arb
Bass_8772_2011,Bass_8772,23,-1,2011,1,0.0,pre-arb
Davis_7528_2011,Davis_7528,25,1.032,2011,1,0.0,pre-arb
Peralta_8697_2011,Peralta_8697,22,7.062,2011,1,0.0,pre-arb
Gonzalez_7174_2011,Gonzalez_7174,-1,-1,2011,7,80.0,pre-arb
Cahill_5316_2011,Cahill_5316,-1,-1,2011,5,30.5,pre-arb
Davis_7528_2011,Davis_7528,-1,-1,2011,4,12.6,pre-arb
Hanigan_215_2011,Hanigan_215,-1,-1,2011,3,4.0,pre-arb
Fielder_493_2011,Fielder_493,27,5.068,2011,1,15.5,arb
Weaver_455_2011,Weaver_455,28,4.129,2011,1,7.365,arb
Capps_692_2011,Capps_692,27,5.017,2011,1,7.15,arb
Pence_382_2011,Pence_382,28,3.156,2011,1,6.9,arb
Ross_338_2011,Ross_338,30,5.058,2011,1,6.3,arb
Danks_173_2011,Danks_173,26,4.0,2011,1,6.0,arb
Garza_856_2011,Garza_856,27,3.149,2011,1,5.95,arb
Napoli_445_2011,Napoli_445,29,4.151,2011,1,5.8,arb
Guthrie_56_2011,Guthrie_56,32,4.13,2011,1,5.75,arb
Aardsma_79_2011,Aardsma_79,29,4.082,2011,1,4.5,arb
Bourn_371_2011,Bourn_371,28,4.028,2011,1,4.4,arb
Liriano_5289_2011,Liriano_5289,27,4.104,2011,1,4.3,arb
Choo_245_2011,Choo_245,28,3.119,2011,1,3.975,arb
Sánchez_339_2011,Sánchez_339,27,4.099,2011,1,3.7,arb
Cruz_5398_2011,Cruz_5398,30,3.081,2011,1,3.65,arb
Kendrick_439_2011,Kendrick_439,27,4.091,2011,1,3.35,arb
Jones_61_2011,Jones_61,25,3.139,2011,1,3.25,arb
Prado_33_2011,Prado_33,27,3.105,2011,1,3.1,arb
Morales_5271_2011,Morales_5271,28,3.057,2011,1,2.975,arb
Ellsbury_92_2011,Ellsbury_92,27,3.037,2011,1,2.5,arb
Vargas_5364_2011,Vargas_5364,28,3.114,2011,1,2.45,arb
Kendrick_642_2011,Kendrick_642,26,2.159,2011,1,2.45,arb
Murphy_888_2011,Murphy_888,29,3.087,2011,1,2.4,arb
Headley_5345_2011,Headley_5345,27,2.123,2011,1,2.325,arb
Morrow_5361_2011,Morrow_5361,26,3.091,2011,1,2.3,arb
Pérez_5374_2011,Pérez_5374,25,2.136,2011,1,2.225,arb
Cabrera_242_2011,Cabrera_242,25,3.027,2011,1,2.075,arb
Callaspo_397_2011,Callaspo_397,28,3.135,2011,1,2.0,arb
Hochevar_410_2011,Hochevar_410,27,2.151,2011,1,1.76,arb
Mathis_442_2011,Mathis_442,28,4.012,2011,1,1.7,arb
Volquez_227_2011,Volquez_227,27,3.12,2011,1,1.625,arb
Breslow_5287_2011,Breslow_5287,30,3.088,2011,1,1.425,arb
Gordon_406_2011,Gordon_406,27,3.092,2011,1,1.4,arb
Chamberlain_577_2011,Chamberlain_577,25,3.055,2011,1,1.4,arb
Hanrahan_924_2011,Hanrahan_924,29,3.065,2011,1,1.4,arb
O'Day_5392_2011,O'Day_5392,28,2.14,2011,1,1.251,arb
Ziegler_5321_2011,Ziegler_5321,31,2.122,2011,1,1.25,arb
Loe_7208_2011,Loe_7208,29,3.133,2011,1,1.25,arb
Johnson_5180_2011,Johnson_5180,28,2.165,2011,1,0.975,arb
Smith_564_2011,Smith_564,27,3.091,2011,1,0.87,arb
Casilla_7181_2011,Casilla_7181,26,3.038,2011,1,0.865,arb
Paulino_381_2011,Paulino_381,27,2.163,2011,1,0.79,arb
Tulowitzki_278_2011,Tulowitzki_278,-1,-1,2011,10,157.75,arb
Bautista_690_2011,Bautista_690,-1,-1,2011,5,65.0,arb
Bruce_5219_2011,Bruce_5219,-1,-1,2011,6,51.0,arb
Votto_228_2011,Votto_228,-1,-1,2011,3,38.0,arb
Rodriguez_384_2011,Rodriguez_384,-1,-1,2011,3,34.0,arb
Butler_396_2011,Butler_396,-1,-1,2011,4,30.0,arb
Cueto_5213_2011,Cueto_5213,-1,-1,2011,4,27.0,arb
Nolasco_332_2011,Nolasco_332,-1,-1,2011,3,26.5,arb
Hart_499_2011,Hart_499,-1,-1,2011,3,26.5,arb
Mármol_151_2011,Mármol_151,-1,-1,2011,3,20.0,arb
Hammel_832_2011,Hammel_832,-1,-1,2011,2,7.75,arb
Davis_722_2011,Davis_722,-1,-1,2011,2,5.75,arb
Ryan_797_2011,Ryan_797,-1,-1,2011,2,2.75,arb
Crawford_849_2011,Crawford_849,-1,-1,2011,7,142.0,free-agent
Beltré_748_2011,Beltré_748,-1,-1,2011,5,80.0,free-agent
Martinez_354_2011,Martinez_354,-1,-1,2011,4,50.0,free-agent
Mauer_527_2011,Mauer_527,-1,-1,2011,8,184.0,free-agent
Braun_485_2011,Braun_485,-1,-1,2011,5,105.0,free-agent
Halladay_898_2011,Halladay_898,-1,-1,2011,3,60.0,free-agent
Rolen_918_2011,Rolen_918,-1,-1,2011,2,13.0,free-agent
